NAMESPACE         LAST SEEN   TYPE      REASON                   OBJECT                                                        MESSAGE
longhorn-system   47m         Normal    Start                    replica/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-9ca8afa2   Starts pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-9ca8afa2
longhorn-system   47m         Normal    Started                  pod/healthchecks-snapshot-hourly-29664077-2zz8b               Started container healthchecks-snapshot-hourly
longhorn-system   47m         Normal    Created                  pod/healthchecks-snapshot-hourly-29664077-2zz8b               Created container: healthchecks-snapshot-hourly
longhorn-system   47m         Normal    Pulled                   pod/n8n-snapshot-hourly-29664077-jscpr                        Container image "docker.io/longhornio/longhorn-manager:v1.11.2" already present on machine
longhorn-system   47m         Normal    SuccessfulCreate         cronjob/n8n-snapshot-hourly                                   Created job n8n-snapshot-hourly-29664077
longhorn-system   47m         Normal    Start                    replica/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-c9f4319d   Starts pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-c9f4319d
longhorn-system   47m         Normal    Start                    engine/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-e-0           Starts pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-e-0
longhorn-system   47m         Normal    SuccessfulDelete         cronjob/n8n-snapshot-hourly                                   Deleted job n8n-snapshot-hourly-29664017
longhorn-system   47m         Normal    SawCompletedJob          cronjob/n8n-snapshot-hourly                                   Saw completed job: n8n-snapshot-hourly-29664077, condition: Complete
longhorn-system   47m         Normal    Completed                job/n8n-snapshot-hourly-29664077                              Job completed
longhorn-system   47m         Normal    Attached                 volume/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf               volume pvc-b394b979-0996-4f72-adc1-a4aa4be71caf has been attached to activi-k3-1.0
longhorn-system   47m         Normal    Create                   snapshot/healthch-fb406a64-05a1-48a7-ae5f-0b6678b227b0        successfully provisioned the snapshot
longhorn-system   47m         Normal    Update                   snapshot/healthch-fb406a64-05a1-48a7-ae5f-0b6678b227b0        snapshot becomes ready to use
longhorn-system   46m         Normal    SawCompletedJob          cronjob/healthchecks-snapshot-hourly                          Saw completed job: healthchecks-snapshot-hourly-29664077, condition: Complete
longhorn-system   46m         Normal    SuccessfulDelete         cronjob/healthchecks-snapshot-hourly                          Deleted job healthchecks-snapshot-hourly-29664017
longhorn-system   46m         Normal    Completed                job/healthchecks-snapshot-hourly-29664077                     Job completed
matrix            46m         Normal    SuccessfulAttachVolume   pod/matrix-matrix-stack-postgres-backup-29664077-jpwc4        AttachVolume.Attach succeeded for volume "pvc-b394b979-0996-4f72-adc1-a4aa4be71caf"
matrix            46m         Normal    Started                  pod/matrix-matrix-stack-postgres-backup-29664077-jpwc4        Started container pg-dump
matrix            46m         Normal    Pulled                   pod/matrix-matrix-stack-postgres-backup-29664077-jpwc4        Container image "ghcr.io/dsactivi-2/matrix/postgres:17-alpine" already present on machine
matrix            46m         Normal    Created                  pod/matrix-matrix-stack-postgres-backup-29664077-jpwc4        Created container: pg-dump
matrix            46m         Normal    SawCompletedJob          cronjob/matrix-matrix-stack-postgres-backup                   Saw completed job: matrix-matrix-stack-postgres-backup-29664077, condition: Complete
matrix            46m         Normal    Completed                job/matrix-matrix-stack-postgres-backup-29664077              Job completed
longhorn-system   46m         Normal    Stop                     replica/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-7f9266d6   Stops pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-7f9266d6
longhorn-system   46m         Normal    Stop                     replica/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-9ca8afa2   Stops pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-9ca8afa2
longhorn-system   46m         Normal    Stop                     replica/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-c9f4319d   Stops pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-c9f4319d
longhorn-system   46m         Normal    Stop                     engine/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-e-0           Stops pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-e-0
longhorn-system   46m         Normal    Detached                 volume/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf               volume pvc-b394b979-0996-4f72-adc1-a4aa4be71caf has been detached
healthchecks      37m         Normal    Created                  pod/healthchecks-sqlite-backup-29664087-zttgr                 Created container: sqlite-backup
healthchecks      37m         Normal    Started                  pod/healthchecks-sqlite-backup-29664087-zttgr                 Started container sqlite-backup
longhorn-system   37m         Normal    Pulled                   pod/hindsight-snapshot-hourly-29664087-dlv66                  Container image "docker.io/longhornio/longhorn-manager:v1.11.2" already present on machine
