NAMESPACE         LAST SEEN   TYPE      REASON               OBJECT                                                       MESSAGE
longhorn-system   41m         Normal    Pulled               pod/healthchecks-snapshot-hourly-29664017-5htcj              Container image "docker.io/longhornio/longhorn-manager:v1.11.2" already present on machine
longhorn-system   41m         Normal    Started              pod/n8n-snapshot-hourly-29664017-jzssf                       Started container n8n-snapshot-hourly
longhorn-system   41m         Normal    SuccessfulCreate     cronjob/n8n-snapshot-hourly                                  Created job n8n-snapshot-hourly-29664017
longhorn-system   41m         Normal    SuccessfulCreate     cronjob/lh-system-backup-daily                               Created job lh-system-backup-daily-29664017
longhorn-system   41m         Normal    SuccessfulCreate     job/n8n-snapshot-hourly-29664017                             Created pod: n8n-snapshot-hourly-29664017-jzssf
longhorn-system   41m         Normal    SuccessfulCreate     job/lh-system-backup-daily-29664017                          Created pod: lh-system-backup-daily-29664017-8799f
longhorn-system   41m         Normal    Started              pod/lh-system-backup-daily-29664017-8799f                    Started container lh-system-backup-daily
longhorn-system   41m         Normal    Created              pod/lh-system-backup-daily-29664017-8799f                    Created container: lh-system-backup-daily
longhorn-system   41m         Normal    Pulled               pod/lh-system-backup-daily-29664017-8799f                    Container image "docker.io/longhornio/longhorn-manager:v1.11.2" already present on machine
longhorn-system   41m         Normal    Pulled               pod/n8n-snapshot-hourly-29664017-jzssf                       Container image "docker.io/longhornio/longhorn-manager:v1.11.2" already present on machine
longhorn-system   41m         Normal    Created              pod/healthchecks-snapshot-hourly-29664017-5htcj              Created container: healthchecks-snapshot-hourly
longhorn-system   41m         Normal    Started              pod/healthchecks-snapshot-hourly-29664017-5htcj              Started container healthchecks-snapshot-hourly
longhorn-system   41m         Normal    SuccessfulCreate     job/healthchecks-snapshot-hourly-29664017                    Created pod: healthchecks-snapshot-hourly-29664017-5htcj
longhorn-system   41m         Normal    SuccessfulCreate     cronjob/healthchecks-snapshot-hourly                         Created job healthchecks-snapshot-hourly-29664017
longhorn-system   41m         Normal    Created              pod/n8n-snapshot-hourly-29664017-jzssf                       Created container: n8n-snapshot-hourly
longhorn-system   41m         Normal    SawCompletedJob      cronjob/n8n-snapshot-hourly                                  Saw completed job: n8n-snapshot-hourly-29664017, condition: Complete
longhorn-system   41m         Normal    SuccessfulDelete     cronjob/n8n-snapshot-hourly                                  Deleted job n8n-snapshot-hourly-29663957
longhorn-system   41m         Normal    Completed            job/n8n-snapshot-hourly-29664017                             Job completed
longhorn-system   41m         Normal    Create               snapshot/healthch-6fce1e28-a62f-4ee8-9cff-66c7cd86fdb6       successfully provisioned the snapshot
longhorn-system   41m         Normal    Update               snapshot/healthch-6fce1e28-a62f-4ee8-9cff-66c7cd86fdb6       snapshot becomes ready to use
longhorn-system   41m         Normal    Completed            job/healthchecks-snapshot-hourly-29664017                    Job completed
longhorn-system   41m         Normal    SawCompletedJob      cronjob/healthchecks-snapshot-hourly                         Saw completed job: healthchecks-snapshot-hourly-29664017, condition: Complete
longhorn-system   41m         Normal    SuccessfulDelete     cronjob/healthchecks-snapshot-hourly                         Deleted job healthchecks-snapshot-hourly-29663957
longhorn-system   41m         Normal    Generate             systembackup/lh-syste-a047e347-3682-4bf1-a2e1-9cb2b0608b83   Created system backup file: /tmp/lh-syste-a047e347-3682-4bf1-a2e1-9cb2b0608b83.zip
longhorn-system   41m         Normal    Start                systembackup/lh-syste-a047e347-3682-4bf1-a2e1-9cb2b0608b83   Starting system backup
longhorn-system   41m         Normal    Upload               systembackup/lh-syste-a047e347-3682-4bf1-a2e1-9cb2b0608b83   Uploaded system backup to backup target
longhorn-system   41m         Normal    Completed            job/lh-system-backup-daily-29664017                          Job completed
longhorn-system   41m         Normal    SawCompletedJob      cronjob/lh-system-backup-daily                               Saw completed job: lh-system-backup-daily-29664017, condition: Complete
longhorn-system   41m         Normal    SuccessfulDelete     cronjob/lh-system-backup-daily                               Deleted job lh-system-backup-daily-29662577
longhorn-system   31m         Normal    Pulled               pod/hindsight-snapshot-hourly-29664027-2bssn                 Container image "docker.io/longhornio/longhorn-manager:v1.11.2" already present on machine
longhorn-system   31m         Normal    SuccessfulCreate     job/hindsight-snapshot-hourly-29664027                       Created pod: hindsight-snapshot-hourly-29664027-2bssn
longhorn-system   31m         Normal    SuccessfulCreate     cronjob/hindsight-snapshot-hourly                            Created job hindsight-snapshot-hourly-29664027
longhorn-system   31m         Normal    Created              pod/hindsight-snapshot-hourly-29664027-2bssn                 Created container: hindsight-snapshot-hourly
longhorn-system   31m         Normal    Started              pod/hindsight-snapshot-hourly-29664027-2bssn                 Started container hindsight-snapshot-hourly
longhorn-system   31m         Normal    Completed            job/hindsight-snapshot-hourly-29664027                       Job completed
longhorn-system   31m         Normal    SawCompletedJob      cronjob/hindsight-snapshot-hourly                            Saw completed job: hindsight-snapshot-hourly-29664027, condition: Complete
longhorn-system   31m         Normal    SuccessfulDelete     cronjob/hindsight-snapshot-hourly                            Deleted job hindsight-snapshot-hourly-29663967
hindsight         28m         Normal    Pulled               pod/hindsight-groq-healthcheck-29664030-xpmqz                Container image "docker.io/curlimages/curl:8.16.0@sha256:463eaf6072688fe96ac64fa623fe73e1dbe25d8ad6c34404a669ad3ce1f104b6" already present on machine
hindsight         28m         Normal    SuccessfulCreate     job/hindsight-groq-healthcheck-29664030                      Created pod: hindsight-groq-healthcheck-29664030-xpmqz
hindsight         28m         Normal    SuccessfulCreate     cronjob/hindsight-groq-healthcheck                           Created job hindsight-groq-healthcheck-29664030
hindsight         28m         Normal    Created              pod/hindsight-groq-healthcheck-29664030-xpmqz                Created container: groq-healthcheck
hindsight         28m         Normal    Started              pod/hindsight-groq-healthcheck-29664030-xpmqz                Started container groq-healthcheck
