NAMESPACE                     NAME                                                       READY   STATUS      RESTARTS       AGE     IP            NODE            NOMINATED NODE   READINESS GATES
longhorn-system               engine-image-ei-c9fa6d45-ht9nc                             1/1     Running     0              6d      10.42.0.25    activi-k3-1.0   <none>           <none>
longhorn-system               healthchecks-backup-daily-29663987-bcqx8                   0/1     Completed   0              71m     10.42.0.178   activi-k3-1.0   <none>           <none>
longhorn-system               healthchecks-snapshot-hourly-29664017-5htcj                0/1     Completed   0              41m     10.42.2.163   activi-k3-3     <none>           <none>
longhorn-system               hindsight-backup-daily-29663997-q277g                      0/1     Completed   0              61m     10.42.0.179   activi-k3-1.0   <none>           <none>
longhorn-system               hindsight-snapshot-hourly-29664027-2bssn                   0/1     Completed   0              31m     10.42.0.183   activi-k3-1.0   <none>           <none>
longhorn-system               instance-manager-2770668eb6e08c93de66b81ef7316873          1/1     Running     0              6d      10.42.0.26    activi-k3-1.0   <none>           <none>
longhorn-system               instance-manager-3d246b8280ae810ce7469331b1f22bd9          1/1     Running     0              6d      10.42.2.5     activi-k3-3     <none>           <none>
longhorn-system               instance-manager-dd9f093ebb547cce2013e7b8c0236c57          1/1     Running     0              6d      10.42.1.6     activi-k3-2     <none>           <none>
longhorn-system               lh-system-backup-daily-29664017-8799f                      0/1     Completed   0              41m     10.42.2.162   activi-k3-3     <none>           <none>
longhorn-system               longhorn-csi-plugin-25vpn                                  3/3     Running     0              6d      10.42.1.11    activi-k3-2     <none>           <none>
longhorn-system               longhorn-csi-plugin-jxh28                                  3/3     Running     0              6d      10.42.2.12    activi-k3-3     <none>           <none>
longhorn-system               longhorn-csi-plugin-nd9f6                                  3/3     Running     0              6d      10.42.0.31    activi-k3-1.0   <none>           <none>
longhorn-system               longhorn-driver-deployer-74dc4fcb96-d2ndh                  1/1     Running     1 (6d ago)     6d      10.42.1.3     activi-k3-2     <none>           <none>
longhorn-system               longhorn-manager-876ch                                     2/2     Running     0              6d      10.42.1.4     activi-k3-2     <none>           <none>
longhorn-system               longhorn-manager-f4n5z                                     2/2     Running     0              6d      10.42.2.2     activi-k3-3     <none>           <none>
longhorn-system               longhorn-manager-jv7bd                                     2/2     Running     0              6d      10.42.0.24    activi-k3-1.0   <none>           <none>
longhorn-system               longhorn-ui-58ddc85f44-4rh4q                               1/1     Running     0              6d      10.42.1.2     activi-k3-2     <none>           <none>
longhorn-system               longhorn-ui-58ddc85f44-69d68                               1/1     Running     0              6d      10.42.2.3     activi-k3-3     <none>           <none>
longhorn-system               n8n-backup-daily-29663987-gfkl4                            0/1     Completed   0              71m     10.42.2.160   activi-k3-3     <none>           <none>
longhorn-system               n8n-snapshot-hourly-29664017-jzssf                         0/1     Completed   0              41m     10.42.0.182   activi-k3-1.0   <none>           <none>
longhorn-system               prod-backup-daily-29663977-9dwsv                           0/1     Completed   0              81m     10.42.2.159   activi-k3-3     <none>           <none>
longhorn-system               prod-backup-weekly-29659752-tchhx                          0/1     Completed   0              2d23h   10.42.0.51    activi-k3-1.0   <none>           <none>
longhorn-system               prod-snapshot-hourly-29664007-85bwh                        0/1     Completed   0              51m     10.42.2.161   activi-k3-3     <none>           <none>
longhorn-test                 longhorn-test-restore-reader                               0/1     Completed   0              5d23h   10.42.0.32    activi-k3-1.0   <none>           <none>
longhorn-test                 longhorn-test-writer                                       0/1     Completed   0              5d23h   10.42.2.13    activi-k3-3     <none>           <none>
matrix                        matrix-matrix-stack-element-b74bb9b-r9hz8                  1/1     Running     0              3h3m    10.42.0.159   activi-k3-1.0   <none>           <none>
matrix                        matrix-matrix-stack-ketesa-76d48fb594-cdzzn                1/1     Running     0              3h3m    10.42.1.72    activi-k3-2     <none>           <none>
matrix                        matrix-matrix-stack-postgres-0                             1/1     Running     0              169m    10.42.0.164   activi-k3-1.0   <none>           <none>
matrix                        matrix-matrix-stack-synapse-0                              1/1     Running     8 (171m ago)   3h3m    10.42.0.163   activi-k3-1.0   <none>           <none>
moneymaker                    dograh-api-d9bf7cb7-hc4vv                                  1/1     Running     0              152m    10.42.1.85    activi-k3-2     <none>           <none>
moneymaker                    dograh-minio-0                                             1/1     Running     0              155m    10.42.0.165   activi-k3-1.0   <none>           <none>
moneymaker                    dograh-postgres-1                                          1/1     Running     0              155m    10.42.2.157   activi-k3-3     <none>           <none>
moneymaker                    dograh-postgres-2                                          1/1     Running     0              154m    10.42.0.167   activi-k3-1.0   <none>           <none>
moneymaker                    dograh-postgres-3                                          1/1     Running     0              153m    10.42.1.84    activi-k3-2     <none>           <none>
moneymaker                    dograh-redis-79bc4b5949-m54sv                              1/1     Running     0              155m    10.42.1.79    activi-k3-2     <none>           <none>
moneymaker                    dograh-ui-6896b66848-8lpm2                                 1/1     Running     0              155m    10.42.1.81    activi-k3-2     <none>           <none>
monitoring                    alertmanager-kube-prometheus-stack-alertmanager-0          2/2     Running     0              2d14h   10.42.1.15    activi-k3-2     <none>           <none>
monitoring                    blackbox-exporter-686597ffc9-dgl78                         1/1     Running     0              26h     10.42.0.84    activi-k3-1.0   <none>           <none>
monitoring                    kube-prometheus-stack-grafana-5d84fb5bd4-q8ndn             3/3     Running     0              2d14h   10.42.2.22    activi-k3-3     <none>           <none>
monitoring                    kube-prometheus-stack-kube-state-metrics-cf6c57f8d-2j8g5   1/1     Running     0              2d14h   10.42.2.20    activi-k3-3     <none>           <none>
monitoring                    kube-prometheus-stack-operator-6f47b78bb-2rr4p             1/1     Running     0              2d14h   10.42.0.68    activi-k3-1.0   <none>           <none>
monitoring                    kube-prometheus-stack-prometheus-node-exporter-4k7sr       1/1     Running     0              2d14h   10.0.1.10     activi-k3-1.0   <none>           <none>
monitoring                    kube-prometheus-stack-prometheus-node-exporter-5vcmr       1/1     Running     0              2d14h   10.0.1.20     activi-k3-2     <none>           <none>
monitoring                    kube-prometheus-stack-prometheus-node-exporter-tq7w7       1/1     Running     0              2d14h   10.0.1.30     activi-k3-3     <none>           <none>
monitoring                    prometheus-kube-prometheus-stack-prometheus-0              2/2     Running     27 (35h ago)   2d14h   10.42.0.69    activi-k3-1.0   <none>           <none>
n8n                           n8n-5775569c8b-s66vq                                       1/1     Running     0              8h      10.42.2.152   activi-k3-3     <none>           <none>
n8n                           n8n-postgres-1                                             1/1     Running     0              8h      10.42.0.114   activi-k3-1.0   <none>           <none>
n8n                           n8n-postgres-2                                             1/1     Running     0              8h      10.42.2.149   activi-k3-3     <none>           <none>
n8n                           n8n-postgres-3                                             1/1     Running     0              8h      10.42.1.54    activi-k3-2     <none>           <none>
n8n                           n8n-redis-cluster-init-n2tf4                               0/1     Completed   0              5h2m    10.42.0.141   activi-k3-1.0   <none>           <none>
portainer                     portainer-78575c45dc-p7d4s                                 1/1     Running     0              2d2h    10.42.0.71    activi-k3-1.0   <none>           <none>
velero                        velero-76cf67c865-hk9rr                                    1/1     Running     0              2d23h   10.42.0.53    activi-k3-1.0   <none>           <none>
