NAME                            STATUS   AGE
cert-manager                    Active   5d8h
cnpg-smoke-20260524             Active   2d22h
cnpg-smoke-restore-20260524     Active   2d21h
cnpg-system                     Active   2d22h
default                         Active   8d
healthchecks                    Active   33h
hindsight                       Active   23h
ingress-nginx                   Active   5d8h
kube-node-lease                 Active   8d
kube-public                     Active   8d
kube-system                     Active   8d
longhorn-system                 Active   6d
longhorn-test                   Active   5d23h
matrix                          Active   3h48m
moneymaker                      Active   10h
monitoring                      Active   2d14h
n8n                             Active   10h
portainer                       Active   7d23h
velero                          Active   2d23h
velero-smoke-restore-20260524   Active   2d23h
velero-smoke-source-20260524    Active   2d23h
